student_id,student_name,subject,date,present,exam_number,exam_score
1,John Wilson,Chemistry,01-01-2025,0,,
1,John Wilson,Chemistry,02-01-2025,0,,
1,John Wilson,Chemistry,03-01-2025,0,,
1,John Wilson,Chemistry,04-01-2025,1,,
1,John Wilson,Chemistry,05-01-2025,0,,
1,John Wilson,Chemistry,06-01-2025,1,,
1,John Wilson,Chemistry,07-01-2025,1,,
1,John Wilson,Chemistry,08-01-2025,0,,
1,John Wilson,Chemistry,09-01-2025,1,,
1,John Wilson,Chemistry,10-01-2025,1,,
1,John Wilson,Chemistry,11-01-2025,0,,
1,John Wilson,Chemistry,12-01-2025,0,,
1,John Wilson,Chemistry,13-01-2025,1,1,95.8
1,John Wilson,Chemistry,14-01-2025,1,,
1,John Wilson,Chemistry,15-01-2025,1,,
1,John Wilson,Chemistry,16-01-2025,1,,
1,John Wilson,Chemistry,17-01-2025,0,,
1,John Wilson,Chemistry,18-01-2025,0,,
1,John Wilson,Chemistry,19-01-2025,0,,
1,John Wilson,Chemistry,20-01-2025,0,2,76.3
1,John Wilson,Chemistry,21-01-2025,0,,
1,John Wilson,Chemistry,22-01-2025,0,,
1,John Wilson,Chemistry,23-01-2025,1,,
1,John Wilson,Chemistry,24-01-2025,0,,
1,John Wilson,Chemistry,25-01-2025,1,3,52.6
1,John Wilson,Chemistry,26-01-2025,1,,
1,John Wilson,Chemistry,27-01-2025,1,,
1,John Wilson,Chemistry,28-01-2025,0,,
1,John Wilson,Chemistry,29-01-2025,0,,
1,John Wilson,Chemistry,30-01-2025,1,,
1,John Wilson,Chemistry,31-01-2025,0,,
1,John Wilson,Chemistry,01-02-2025,1,,
1,John Wilson,Chemistry,02-02-2025,1,,
1,John Wilson,Chemistry,03-02-2025,1,,
1,John Wilson,Chemistry,04-02-2025,1,,
1,John Wilson,Chemistry,05-02-2025,0,,
1,John Wilson,Chemistry,06-02-2025,0,,
1,John Wilson,Chemistry,07-02-2025,1,,
1,John Wilson,Chemistry,08-02-2025,0,,
1,John Wilson,Chemistry,09-02-2025,0,,
1,John Wilson,Chemistry,10-02-2025,0,,
1,John Wilson,Chemistry,11-02-2025,1,4,77.6
1,John Wilson,Chemistry,12-02-2025,0,,
1,John Wilson,Chemistry,13-02-2025,0,,
1,John Wilson,Chemistry,14-02-2025,1,,
1,John Wilson,Chemistry,15-02-2025,1,,
1,John Wilson,Chemistry,16-02-2025,0,,
1,John Wilson,Chemistry,17-02-2025,1,,
1,John Wilson,Chemistry,18-02-2025,1,,
1,John Wilson,Chemistry,19-02-2025,0,,
1,John Wilson,Chemistry,20-02-2025,0,,
1,John Wilson,Chemistry,21-02-2025,1,,
1,John Wilson,Chemistry,22-02-2025,0,,
1,John Wilson,Chemistry,23-02-2025,1,,
1,John Wilson,Chemistry,24-02-2025,0,,
1,John Wilson,Chemistry,25-02-2025,1,,
1,John Wilson,Chemistry,26-02-2025,1,,
1,John Wilson,Chemistry,27-02-2025,1,,
1,John Wilson,Chemistry,28-02-2025,1,,
2,Charlotte Jones,Physics,01-01-2025,0,,
2,Charlotte Jones,Physics,02-01-2025,0,,
2,Charlotte Jones,Physics,03-01-2025,0,,
2,Charlotte Jones,Physics,04-01-2025,0,,
2,Charlotte Jones,Physics,05-01-2025,0,,
2,Charlotte Jones,Physics,06-01-2025,1,,
2,Charlotte Jones,Physics,07-01-2025,1,,
2,Charlotte Jones,Physics,08-01-2025,0,,
2,Charlotte Jones,Physics,09-01-2025,0,,
2,Charlotte Jones,Physics,10-01-2025,0,,
2,Charlotte Jones,Physics,11-01-2025,0,,
2,Charlotte Jones,Physics,12-01-2025,0,,
2,Charlotte Jones,Physics,13-01-2025,0,,
2,Charlotte Jones,Physics,14-01-2025,0,,
2,Charlotte Jones,Physics,15-01-2025,0,,
2,Charlotte Jones,Physics,16-01-2025,0,,
2,Charlotte Jones,Physics,17-01-2025,0,,
2,Charlotte Jones,Physics,18-01-2025,0,,
2,Charlotte Jones,Physics,19-01-2025,0,,
2,Charlotte Jones,Physics,20-01-2025,0,,
2,Charlotte Jones,Physics,21-01-2025,0,,
2,Charlotte Jones,Physics,22-01-2025,0,1,76.5
2,Charlotte Jones,Physics,23-01-2025,0,,
2,Charlotte Jones,Physics,24-01-2025,0,,
2,Charlotte Jones,Physics,25-01-2025,1,,
2,Charlotte Jones,Physics,26-01-2025,0,2,99.2
2,Charlotte Jones,Physics,27-01-2025,1,3,76.3
2,Charlotte Jones,Physics,28-01-2025,0,,
2,Charlotte Jones,Physics,29-01-2025,0,,
2,Charlotte Jones,Physics,30-01-2025,1,,
2,Charlotte Jones,Physics,31-01-2025,0,,
2,Charlotte Jones,Physics,01-02-2025,1,,
2,Charlotte Jones,Physics,02-02-2025,0,,
2,Charlotte Jones,Physics,03-02-2025,0,,
2,Charlotte Jones,Physics,04-02-2025,0,,
2,Charlotte Jones,Physics,05-02-2025,0,,
2,Charlotte Jones,Physics,06-02-2025,0,,
2,Charlotte Jones,Physics,07-02-2025,0,,
2,Charlotte Jones,Physics,08-02-2025,1,,
2,Charlotte Jones,Physics,09-02-2025,0,,
2,Charlotte Jones,Physics,10-02-2025,0,,
2,Charlotte Jones,Physics,11-02-2025,0,,
2,Charlotte Jones,Physics,12-02-2025,0,,
2,Charlotte Jones,Physics,13-02-2025,0,,
2,Charlotte Jones,Physics,14-02-2025,0,,
2,Charlotte Jones,Physics,15-02-2025,0,,
2,Charlotte Jones,Physics,16-02-2025,0,,
2,Charlotte Jones,Physics,17-02-2025,1,,
2,Charlotte Jones,Physics,18-02-2025,0,,
2,Charlotte Jones,Physics,19-02-2025,0,,
2,Charlotte Jones,Physics,20-02-2025,0,,
2,Charlotte Jones,Physics,21-02-2025,1,,
2,Charlotte Jones,Physics,22-02-2025,0,,
2,Charlotte Jones,Physics,23-02-2025,0,,
2,Charlotte Jones,Physics,24-02-2025,0,,
2,Charlotte Jones,Physics,25-02-2025,0,,
2,Charlotte Jones,Physics,26-02-2025,1,,
2,Charlotte Jones,Physics,27-02-2025,0,,
2,Charlotte Jones,Physics,28-02-2025,0,,
3,John Jones,Biology,01-01-2025,1,,
3,John Jones,Biology,02-01-2025,1,,
3,John Jones,Biology,03-01-2025,1,,
3,John Jones,Biology,04-01-2025,1,,
3,John Jones,Biology,05-01-2025,1,,
3,John Jones,Biology,06-01-2025,1,,
3,John Jones,Biology,07-01-2025,1,,
3,John Jones,Biology,08-01-2025,0,,
3,John Jones,Biology,09-01-2025,1,,
3,John Jones,Biology,10-01-2025,1,,
3,John Jones,Biology,11-01-2025,1,,
3,John Jones,Biology,12-01-2025,1,,
3,John Jones,Biology,13-01-2025,1,,
3,John Jones,Biology,14-01-2025,1,,
3,John Jones,Biology,15-01-2025,1,,
3,John Jones,Biology,16-01-2025,1,,
3,John Jones,Biology,17-01-2025,0,,
3,John Jones,Biology,18-01-2025,1,,
3,John Jones,Biology,19-01-2025,1,,
3,John Jones,Biology,20-01-2025,1,,
3,John Jones,Biology,21-01-2025,1,,
3,John Jones,Biology,22-01-2025,1,,
3,John Jones,Biology,23-01-2025,1,,
3,John Jones,Biology,24-01-2025,1,,
3,John Jones,Biology,25-01-2025,1,,
3,John Jones,Biology,26-01-2025,1,,
3,John Jones,Biology,27-01-2025,1,,
3,John Jones,Biology,28-01-2025,0,,
3,John Jones,Biology,29-01-2025,0,,
3,John Jones,Biology,30-01-2025,1,,
3,John Jones,Biology,31-01-2025,1,,
3,John Jones,Biology,01-02-2025,1,,
3,John Jones,Biology,02-02-2025,1,,
3,John Jones,Biology,03-02-2025,1,,
3,John Jones,Biology,04-02-2025,1,,
3,John Jones,Biology,05-02-2025,1,,
3,John Jones,Biology,06-02-2025,0,,
3,John Jones,Biology,07-02-2025,1,,
3,John Jones,Biology,08-02-2025,1,,
3,John Jones,Biology,09-02-2025,1,,
3,John Jones,Biology,10-02-2025,1,,
3,John Jones,Biology,11-02-2025,0,,
3,John Jones,Biology,12-02-2025,1,1,84.9
3,John Jones,Biology,13-02-2025,1,,
3,John Jones,Biology,14-02-2025,1,,
3,John Jones,Biology,15-02-2025,1,,
3,John Jones,Biology,16-02-2025,0,,
3,John Jones,Biology,17-02-2025,0,,
3,John Jones,Biology,18-02-2025,0,,
3,John Jones,Biology,19-02-2025,1,,
3,John Jones,Biology,20-02-2025,1,,
3,John Jones,Biology,21-02-2025,1,,
3,John Jones,Biology,22-02-2025,1,,
3,John Jones,Biology,23-02-2025,1,,
3,John Jones,Biology,24-02-2025,1,,
3,John Jones,Biology,25-02-2025,0,,
3,John Jones,Biology,26-02-2025,1,,
3,John Jones,Biology,27-02-2025,1,,
3,John Jones,Biology,28-02-2025,1,,
4,Olivia Lee,Chemistry,01-01-2025,1,,
4,Olivia Lee,Chemistry,02-01-2025,1,,
4,Olivia Lee,Chemistry,03-01-2025,1,,
4,Olivia Lee,Chemistry,04-01-2025,1,,
4,Olivia Lee,Chemistry,05-01-2025,1,,
4,Olivia Lee,Chemistry,06-01-2025,1,,
4,Olivia Lee,Chemistry,07-01-2025,1,,
4,Olivia Lee,Chemistry,08-01-2025,1,1,81.6
4,Olivia Lee,Chemistry,09-01-2025,1,,
4,Olivia Lee,Chemistry,10-01-2025,1,,
4,Olivia Lee,Chemistry,11-01-2025,1,,
4,Olivia Lee,Chemistry,12-01-2025,1,2,77.4
4,Olivia Lee,Chemistry,13-01-2025,1,,
4,Olivia Lee,Chemistry,14-01-2025,0,,
4,Olivia Lee,Chemistry,15-01-2025,1,,
4,Olivia Lee,Chemistry,16-01-2025,1,,
4,Olivia Lee,Chemistry,17-01-2025,1,3,72.4
4,Olivia Lee,Chemistry,18-01-2025,1,,
4,Olivia Lee,Chemistry,19-01-2025,1,,
4,Olivia Lee,Chemistry,20-01-2025,1,,
4,Olivia Lee,Chemistry,21-01-2025,1,,
4,Olivia Lee,Chemistry,22-01-2025,1,,
4,Olivia Lee,Chemistry,23-01-2025,1,,
4,Olivia Lee,Chemistry,24-01-2025,1,,
4,Olivia Lee,Chemistry,25-01-2025,1,,
4,Olivia Lee,Chemistry,26-01-2025,1,,
4,Olivia Lee,Chemistry,27-01-2025,1,,
4,Olivia Lee,Chemistry,28-01-2025,1,,
4,Olivia Lee,Chemistry,29-01-2025,1,4,56.8
4,Olivia Lee,Chemistry,30-01-2025,1,,
4,Olivia Lee,Chemistry,31-01-2025,1,,
4,Olivia Lee,Chemistry,01-02-2025,1,,
4,Olivia Lee,Chemistry,02-02-2025,1,,
4,Olivia Lee,Chemistry,03-02-2025,1,,
4,Olivia Lee,Chemistry,04-02-2025,1,,
4,Olivia Lee,Chemistry,05-02-2025,0,,
4,Olivia Lee,Chemistry,06-02-2025,1,,
4,Olivia Lee,Chemistry,07-02-2025,1,,
4,Olivia Lee,Chemistry,08-02-2025,1,,
4,Olivia Lee,Chemistry,09-02-2025,1,,
4,Olivia Lee,Chemistry,10-02-2025,1,5,75.8
4,Olivia Lee,Chemistry,11-02-2025,1,,
4,Olivia Lee,Chemistry,12-02-2025,1,,
4,Olivia Lee,Chemistry,13-02-2025,1,,
4,Olivia Lee,Chemistry,14-02-2025,1,,
4,Olivia Lee,Chemistry,15-02-2025,1,,
4,Olivia Lee,Chemistry,16-02-2025,1,6,77.4
4,Olivia Lee,Chemistry,17-02-2025,1,,
4,Olivia Lee,Chemistry,18-02-2025,1,,
4,Olivia Lee,Chemistry,19-02-2025,1,,
4,Olivia Lee,Chemistry,20-02-2025,1,,
4,Olivia Lee,Chemistry,21-02-2025,1,,
4,Olivia Lee,Chemistry,22-02-2025,1,7,59.6
4,Olivia Lee,Chemistry,23-02-2025,1,,
4,Olivia Lee,Chemistry,24-02-2025,1,8,87
4,Olivia Lee,Chemistry,25-02-2025,1,,
4,Olivia Lee,Chemistry,26-02-2025,1,,
4,Olivia Lee,Chemistry,27-02-2025,1,,
4,Olivia Lee,Chemistry,28-02-2025,0,,
5,David Thompson,Mathematics,01-01-2025,0,,
5,David Thompson,Mathematics,02-01-2025,0,,
5,David Thompson,Mathematics,03-01-2025,0,,
5,David Thompson,Mathematics,04-01-2025,1,,
5,David Thompson,Mathematics,05-01-2025,0,,
5,David Thompson,Mathematics,06-01-2025,1,,
5,David Thompson,Mathematics,07-01-2025,0,,
5,David Thompson,Mathematics,08-01-2025,1,,
5,David Thompson,Mathematics,09-01-2025,0,,
5,David Thompson,Mathematics,10-01-2025,0,,
5,David Thompson,Mathematics,11-01-2025,0,,
5,David Thompson,Mathematics,12-01-2025,0,,
5,David Thompson,Mathematics,13-01-2025,1,,
5,David Thompson,Mathematics,14-01-2025,0,,
5,David Thompson,Mathematics,15-01-2025,0,,
5,David Thompson,Mathematics,16-01-2025,0,,
5,David Thompson,Mathematics,17-01-2025,0,,
5,David Thompson,Mathematics,18-01-2025,0,,
5,David Thompson,Mathematics,19-01-2025,0,,
5,David Thompson,Mathematics,20-01-2025,0,,
5,David Thompson,Mathematics,21-01-2025,0,,
5,David Thompson,Mathematics,22-01-2025,0,,
5,David Thompson,Mathematics,23-01-2025,1,,
5,David Thompson,Mathematics,24-01-2025,0,,
5,David Thompson,Mathematics,25-01-2025,0,,
5,David Thompson,Mathematics,26-01-2025,0,,
5,David Thompson,Mathematics,27-01-2025,0,,
5,David Thompson,Mathematics,28-01-2025,0,,
5,David Thompson,Mathematics,29-01-2025,0,,
